,,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Former Serbia and Montenegro,Quad Btu,--,--,0.347391149,0.332690792,0.30686967,0.248240771,0.386728802,0.382111975,0.403680487,0.299002013,0.339047827,0.329806821,0.347608065,0.367824359,0.38143973,0.341498571,--,--,--,--,--,--,--,--,--,--,--
Former U.S.S.R.,Quad Btu,13.2356834,10.16901411,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Former Yugoslavia,Quad Btu,0.941748725,0.882542882,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
France,Quad Btu,0.840024357,0.900519713,0.807884486,0.636846619,0.616855181,0.6609241,0.684891888,0.608463712,0.714124911,0.651655093,0.620749261,0.54684401,0.540783505,0.555208055,0.538178311,0.590007967,0.547419895,0.569221258,0.531816152,0.428952109,0.452700512,0.38249738,0.446365776,0.474995491,0.357366363,0.345240603,0.321427289
French Guiana,Quad Btu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
French Polynesia,Quad Btu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gabon,Quad Btu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gambia, The",Quad Btu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Georgia,Quad Btu,--,--,0.009824321,0.005257037,0.005909506,0.000782963,0.000410123,0.000410123,0.000633827,0.000521975,0.000354198,0.000223704,0.000111852,0.000223704,0.000260988,0.000335556,0.000298272,0.001435432,0.002237037,0.004213086,0.001006667,0.00274037,0.00480963,0.008925778,0.008263309,0.008205423,0.007215357
Germany,Quad Btu,--,5.058651072,4.49494843,4.164860419,3.91240237,3.706164026,3.682808033,3.52161339,3.336269635,3.176715929,3.263726576,3.321692651,3.377511834,3.403930909,3.42553657,3.302274905,3.319135525,3.422528187,3.252021231,3.073719827,3.149408014,3.209876517,3.36473988,3.376240109,3.284082712,3.284802543,3.221532707
"Germany, East",Quad Btu,2.372741565,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
"Germany, West",Quad Btu,2.672448703,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Ghana,Quad Btu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000707012,0.000988796,3.65E-07,3.65E-07
Gibraltar,Quad Btu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greece,Quad Btu,0.251825032,0.250189651,0.265855371,0.266915776,0.279994107,0.275432008,0.280917838,0.282468386,0.291738684,0.292101578,0.309567631,0.322754359,0.32840514,0.334154893,0.337585893,0.333009655,0.306626774,0.316156282,0.3069284,0.308931388,0.274847607,0.284461948,0.29343062,0.257735023,0.279813835,0.234188021,0.182031724
Greenland,Quad Btu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grenada,Quad Btu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guadeloupe,Quad Btu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guam,Quad Btu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guatemala,Quad Btu,0,0,0,0,0,0,0,0,0,0.000379797,0.005443761,0.005063964,0.00987473,0.009267054,0.010760924,0.010355807,0.010836883,0.01134328,0.011419239,0.007444027,0.012432032,0.012457352,0.012583951,0.014482937,0.017805941,0.038993245,0.042036231
Guinea,Quad Btu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guinea-Bissau,Quad Btu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guyana,Quad Btu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haiti,Quad Btu,0.000346593,0.000721682,0.000749776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hawaiian Trade Zone,Quad Btu,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Honduras,Quad Btu,0,0,0,0,1.07E-06,9.21E-08,1.55E-06,5.26E-07,1.04E-06,0.001441478,0.003474993,0.003166104,0.003629437,0.004350176,0.00447888,0.004710546,0.001518701,0.001647404,0.002677031,0.002651291,0.002754254,0.002908698,0.002831476,0.001955288,0.002342403,0.002914283,0.004221473
Hong Kong,Quad Btu,0.254395637,0.273289333,0.293392843,0.319519684,0.246724899,0.250328601,0.207470285,0.156683825,0.185925294,0.156761047,0.177070483,0.206775286,0.224407686,0.274808036,0.275194147,0.278617664,0.293521546,0.315607093,0.292028584,0.317408944,0.265747299,0.322505609,0.317923759,0.333908752,0.354890955,0.287896325,0.28729626
Hungary,Quad Btu,0.182995177,0.179092842,0.165565348,0.162393011,0.151253783,0.152587606,0.157165865,0.155805005,0.149640577,0.150496748,0.136743946,0.137401845,0.126659159,0.132363958,0.121413988,0.104434775,0.108436246,0.108598468,0.106678843,0.096215539,0.099036395,0.104669096,0.102794533,0.101388611,0.106675773,0.107347578,0.106601197
Iceland,Quad Btu,0.001819058,0.001679131,0.001399276,0.001483232,0.001986972,0.001819058,0.001847044,0.00162316,0.001958986,0.001679131,0.002826537,0.00274258,0.00274258,0.002378769,0.002910493,0.003274305,0.003022436,0.003386247,0.003050421,0.00274258,0.002966465,0.002938479,0.002938479,0.003358262,0.002798551,0.00324632,0.003470204
India,Quad Btu,3.936760587,4.236405098,4.477972192,4.698473736,4.955933637,5.259698505,5.527379033,5.732915297,5.789940328,6.137851882,6.36798543,6.570899649,6.838205598,7.048736234,7.832977571,8.267648509,8.79639202,9.586911997,9.914560129,10.38523634,11.07730963,11.72537429,13.85788341,14.23754207,15.5655398,15.82113459,15.47125777
Indonesia,Quad Btu,0.19099909,0.212567196,0.220512135,0.221977484,0.247254755,0.280866199,0.309852635,0.360086632,0.40610775,0.523129609,0.567273249,0.64940572,0.669870647,0.748000437,0.826130226,0.946769711,0.993331617,1.068430373,1.224327793,1.288934758,1.508210972,1.511141203,1.534037282,1.650120401,1.732647213,1.953598722,2.110575804
Iran,Quad Btu,0.029375451,0.041862095,0.036850825,0.045544408,0.045765901,0.042803438,0.044907617,0.045959707,0.053518141,0.046734931,0.048396125,0.047399409,0.045018364,0.047288662,0.048146946,0.057311201,0.053739633,0.057228141,0.039840975,0.042748065,0.036380154,0.032088735,0.025610078,0.023450525,0.028020208,0.032384861,0.037102791
Iraq,Quad Btu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ireland,Quad Btu,0.077871572,0.076132332,0.070775473,0.070566764,0.06437507,0.063609804,0.070404435,0.064073601,0.065905601,0.056768793,0.067204233,0.0695696,0.066647677,0.064978006,0.066810006,0.069685549,0.061545906,0.058531223,0.052237634,0.042391076,0.045660847,0.046392396,0.056467325,0.049116137,0.051572007,0.059233567,0.05600247
Israel,Quad Btu,0.092585779,0.10104792,0.12337304,0.140944427,0.149506122,0.16374243,0.194977687,0.215037939,0.231389782,0.227332932,0.255083777,0.2874888,0.303815754,0.315438754,0.316508966,0.315936527,0.315214756,0.332387925,0.315388977,0.306404174,0.306080621,0.313995212,0.352771729,0.291769648,0.273641401,0.267863291,0.227951617
Italy,Quad Btu,0.604645487,0.558547203,0.496021853,0.422383283,0.449707778,0.475872398,0.447145264,0.442856424,0.46505589,0.467672352,0.486688906,0.523831877,0.539881309,0.570577533,0.65516748,0.654061553,0.669112952,0.677636684,0.672026127,0.538101036,0.587274337,0.659375398,0.679336036,0.568500548,0.539984539,0.52231864,0.461555911
Jamaica,Quad Btu,0.00140769,0.001380619,0.001786683,0.001488903,0.001434761,0.001488903,0.001732541,0.001813754,0.001922038,0.001949109,0.001691935,0.001434761,0.002382244,0.002301031,0.001786683,0.001597186,0.000866271,0.000974554,0.001299406,0.001380619,0.001245264,0.001518681,0.001442882,0.002420143,0.002569217,0.002714401,0.002030707
Japan,Quad Btu,3.103297396,3.143068196,3.107793003,3.190220988,3.305472015,3.439829374,3.499626062,3.570687312,3.437581571,3.58984473,3.824893479,3.950796032,4.114323753,4.2935861,4.393715539,4.565519265,4.509502975,4.683503418,4.46296322,4.194325131,4.511801865,4.37795537,4.5947918,4.931528125,4.78492781,4.723833485,4.798355621
Jordan,Quad Btu,0,0,0,0,5.63E-07,3.01E-05,1.61E-05,2.06E-06,6.11E-06,4.03E-06,1.94E-06,1.40E-06,1.65E-06,2.20E-05,4.42E-05,2.99E-05,1.57E-05,3.14E-05,0.000115904,4.47E-05,0.000341181,0.003122352,0.004662228,0.004208398,0.006803632,0.003304664,0.004506032
Kazakhstan,Quad Btu,--,--,2.366845685,2.157723454,2.110674301,1.736880034,1.554229649,1.302184443,1.304381499,1.221348854,1.248169015,1.261485318,1.339695157,1.505546101,1.665100603,1.708532651,1.838962763,1.94913709,2.272720586,2.041145513,2.208871992,2.375205216,2.410572461,2.392996012,2.232899655,2.108688766,2.163895386
Kenya,Quad Btu,0.003056695,0.003056695,0.003198396,0.002651835,0.002469648,0.00315791,0.002914994,0.002975723,0.002408919,0.00234819,0.002166003,0.002166003,0.003238882,0.003036452,0.003542528,0.002935237,0.003927145,0.003603257,0.003583014,0.003117424,0.003030089,0.004986722,0.006943354,0.006040176,0.009817221,0.010828648,0.011074482
Kiribati,Quad Btu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Korea, North",Quad Btu,0.609687529,0.603791843,0.475686019,0.56221322,0.543488601,0.692075219,0.698720204,0.700737432,0.613996642,0.751334248,0.748794915,0.716685396,0.697486135,0.685359037,0.71616329,0.703347962,0.673303135,0.59581786,0.645489125,0.534446675,0.497116097,0.339890998,0.35308604,0.23637162,0.27565305,0.200318687,0.227773982
"Korea, South",Quad Btu,1.162231969,1.135107421,1.066077724,1.135830386,1.142283511,1.187589271,1.346239758,1.444375461,1.496589545,1.583291702,1.781785553,1.896763644,2.033966193,2.118847551,2.198909147,2.27144656,2.351775921,2.520628237,2.790856207,2.907012463,3.246645,3.509107799,3.436784597,3.475583679,3.585321872,3.63022693,3.468891816
